"Cidade","Rede","Série","Disciplina","Matriculados na Série","Taxa de Participação (%)","Percentual Insuficiente (%)","Percentual Básico (%)","Percentual Proficiente (%)","Percentual Avançado (%)","Percentual Aprendizado Adequado (%)","Crescimento entre 2011 e 2013 (pp*)"
"Sertãozinho","Municipal","5º ano","Português","21","100","38.08","47.64","9.52","4.76","14.28","5.01"
"Sobrado","Municipal","5º ano","Português","69","95.65000000000001","38.37","39.19","10.33","12.11","22.45","13.34"
"Solânea","Municipal","5º ano","Português","192","84.38","46.14","36.03","14.9","2.93","17.83","-1.32"
"Soledade","Municipal","5º ano","Português","109","88.98999999999999","30.64","39.02","28.49","1.85","30.34","7.34"
"Sossêgo","Municipal","5º ano","Português","26","96.15000000000001","32","28","32","8","40.02","7.01"
"Sousa","Municipal","5º ano","Português","145","96.55","15.13","41.54","37.75","5.58","43.33","28.11"
"Sumé","Municipal","5º ano","Português","182","98.34999999999999","29.83","45.61","17.73","6.83","24.56","4.68"
"Tacima","Municipal","5º ano","Português","43","90.7","23.08","35.88","35.93","5.11","41.05","36.27"
"Taperoá","Municipal","5º ano","Português","54","90.73999999999999","14.57","52.02","29.88","3.53","33.43","10.33"
"Tavares","Municipal","5º ano","Português","64","100","26.13","26.63","36.59","10.65","47.24","33.37"
"Teixeira","Municipal","5º ano","Português","159","93.08","31.36","44.43","20.98","3.23","24.22","7.72"
"Tenório","Municipal","5º ano","Português","45","95.56","36.42","40.68","17.81","5.09","22.88","7.36"
"Triunfo","Municipal","5º ano","Português","23","82.61","55.54","44.46","0","0","0","-26.75"
"Uiraúna","Municipal","5º ano","Português","59","96.61","37.34","45.38","15.59","1.69","17.28","12.15"
"Umbuzeiro","Municipal","5º ano","Português","51","82.34999999999999","32.05","56.86","11.09","0","11.09","0.8"
"Várzea","Municipal","5º ano","Português","30","90","3.7","33.34","22.22","40.74","62.96","-19.66"
"Vieirópolis","Municipal","5º ano","Português","36","100","30.43","46.28","18.16","5.13","23.29","18.52"
"Vista Serrana","Municipal","5º ano","Português","28","100","17.85","60.73","17.85","3.57","21.42","10.38"
"Zabelê","Municipal","5º ano","Português","58","100","50.01","36.2","13.79","0","13.79","-1.32"
